"id","account_id","name","area","columns","blank_columns","saved_search","sort_by","sort_direction","note","created_at","updated_at","settings"
"797460","48210","Cattle Inventory Worksheet","animals","[""ear_tag"", ""electronic_id"", ""brand"", ""birth_date"", ""color_markings""]","[""note_date"", ""note_details""]","{""status_eq""=>""Active""}","ear_tag","asc","","2013-11-11 09:05:00 -0600","2015-12-07 09:30:59 -0600","{""font_size""=>""12""}"
"797463","48210","Breeding Worksheet","breeding","[""ear_tag"", ""last_breeding_date"", ""last_calving_date""]","[""embryo_mating"", ""breeding_method"", ""breeding_date"", ""comments""]","{""status_eq""=>""Active"", ""current_breeding_status_eq""=>""Open"", ""s""=>""last_calving_date asc""}","last_calving_date","asc","","2013-11-11 09:05:00 -0600","2016-03-24 10:20:52 -0500","{""font_size""=>""14""}"
"797466","48210","Bulls Worksheet","bulls","[""ear_tag"", ""category_id"", ""pasture_id"", ""birth_date""]","[""note_date"", ""note_details""]","{""status_eq""=>""Active""}","ear_tag","asc","","2013-11-11 09:05:00 -0600","2013-11-11 09:05:00 -0600","{""font_size""=>""14""}"
"797469","48210","Calf Worksheet","calves","[""ear_tag"", ""sex"", ""birth_date""]","[""dam_ear_tag"", ""note_details""]","{""status_eq""=>""Active"", ""birth_date_gteq""=>""2016-01-01"", ""s""=>""birth_date desc""}","birth_date","desc","","2013-11-11 09:05:00 -0600","2016-10-18 19:30:43 -0500","{""font_size""=>""14""}"
"797472","48210","Calving Worksheet","calving","[""ear_tag"", ""pasture_id"", ""next_calving_date""]","[""calf_ear_tag"", ""calf_birth_date"", ""calf_sex"", ""calving_ease""]","{""status_eq""=>""Active"", ""current_breeding_status_eq""=>""Pregnant""}","ear_tag","asc","","2013-11-11 09:05:00 -0600","2014-11-30 15:13:23 -0600","{""font_size""=>""14""}"
"797475","48210","Cow Worksheet","cows","[""ear_tag""]","[""ear_tag"", ""brand"", ""note_details""]","{""status_eq""=>""Active""}","ear_tag","asc","","2013-11-11 09:05:00 -0600","2015-11-16 09:11:09 -0600","{""font_size""=>""14""}"
"797478","48210","Cow-Calf Worksheet","cows","[""ear_tag"", ""category_id"", ""pasture_id"", ""birth_date""]","[""note_date"", ""note_details""]","{""status_eq""=>""Active""}","ear_tag","asc","","2013-11-11 09:05:00 -0600","2014-11-30 15:13:57 -0600","{""font_size""=>""14""}"
"797481","48210","Flush Worksheet","flushing","[""ear_tag"", ""last_breeding_date""]","[""flush_date"", ""recovered"", ""usable"", ""unfertilized"", ""degenerate"", ""discarded"", ""embryos_frozen"", ""transferred""]","{""status_eq""=>""Active"", ""current_breeding_status_eq""=>""Exposed""}","ear_tag","asc","","2013-11-11 09:05:00 -0600","2013-11-11 09:05:00 -0600","{""font_size""=>""14""}"
"797484","48210","Horn Measuring Worksheet","horn_measurements","[""ear_tag"", ""birth_date"", ""animal_type"", ""pasture_id""]","[""measure_date"", ""tip_to_tip"", ""total_horn"", ""base"", ""composite""]","{""status_eq""=>""Active""}","ear_tag","asc","","2013-11-11 09:05:00 -0600","2013-11-11 09:05:00 -0600","{""font_size""=>""14""}"
"797487","48210","Weighing & Measuring Worksheet","measurements","[""ear_tag"", ""animal_type"", ""pasture_id"", ""birth_date""]","[""measure_date"", ""weight"", ""height"", ""bcs""]","{""status_eq""=>""Active""}","ear_tag","asc","","2013-11-11 09:05:00 -0600","2013-11-11 09:05:00 -0600","{""font_size""=>""14""}"
"797490","48210","Pasture Movement Worksheet","pasture_movements","[""ear_tag"", ""animal_type"", ""pasture_id"", ""birth_date""]","[""movement_date"", ""moved_to_pasture_id""]","{""status_eq""=>""Active""}","ear_tag","asc","","2013-11-11 09:05:00 -0600","2013-11-11 09:05:00 -0600","{""font_size""=>""14""}"
"797493","48210","Pregnancy Check Worksheet","pregnancy-checking","[""ear_tag"", ""electronic_id"", ""last_breeding_date""]","[""result"", ""expected_due_date"", ""comments""]","{}","ear_tag","asc","","2013-11-11 09:05:00 -0600","2016-10-18 19:25:48 -0500","{""font_size""=>""14""}"
"797496","48210","Steer Worksheet","steers","[""ear_tag"", ""category_id"", ""pasture_id"", ""birth_date""]","[""note_date"", ""note_details""]","{""status_eq""=>""Active""}","ear_tag","asc","","2013-11-11 09:05:00 -0600","2013-11-11 09:05:00 -0600","{""font_size""=>""14""}"
"797499","48210","Treatment Worksheet","treatments","[""ear_tag"", ""birth_date""]","[""treatment_date"", ""medication"", ""dosage"", ""lot_number"", ""serial_number""]","{""status_eq""=>""Active"", ""animal_type_eq""=>""Cow"", ""pasture_id_eq""=>""492651""}","ear_tag","asc","","2013-11-11 09:05:00 -0600","2018-10-10 17:52:01 -0500","{""font_size""=>""14""}"
"797502","48210","Weaning Worksheet","weaning","[""ear_tag"", ""sex"", ""pasture_id"", ""birth_date"", ""dam_ear_tag"", ""sire_ear_tag""]","[""weaning_date"", ""weight"", ""height"", ""contemporary_group""]","{""status_eq""=>""Active""}","ear_tag","asc","","2013-11-11 09:05:00 -0600","2013-11-11 09:05:00 -0600","{""font_size""=>""14""}"
"797505","48210","Yearling Worksheet","yearling","[""ear_tag"", ""sex"", ""birth_date"", ""weaning_weight""]","[""yearling_date"", ""weight"", ""height"", ""contemporary_group""]","{""status_eq""=>""Active""}","ear_tag","asc","","2013-11-11 09:05:00 -0600","2014-11-30 15:13:40 -0600","{""font_size""=>""14""}"
